date	meg_whitman	tim_cook	satya_nadella	marissa_mayer	larry_page	john_donahoe	mark_zuckerberg	dick_costolo	event
283		33.94	17.56	36.74		-28.41
284			17.28	38.21		-31.95
285	-26.43			39.61	-4.74	-29.6	-35.2	-14.02
286	-26.32	34.11			-4.23		-35.2	-14.44
287		32.89	17.44		-4.42		-37.08	-14.48
288	-26.61	31.78	14.95	38.9	-4.45	-30.45	-36.15	-14.49
289	-28.24	32.47	14.38	35.77	-4.24	-31.68	-35.11	-12.97
290		33.17	14.87	37.79		-28.46
291			12.91	36.87		-35.55
292	-28.62			36.39	-2.62	-33.72	-35.5	-13.1
293	-29.08	33.36			-3.13		-36.8	-9.46
294	-26.57	32.94	11		-1.1		-36.92	-9.65	{"person":"mark_zuckerberg", "desc":"Radical Newsfeed Redesign","link":"http://mashable.com/2013/03/07/new-facebook-news-feed/#Hf_KHe3aMskA"}
295	-27.29	33.17	10.65	38	-2.19		-34.53	-6.83
296	-29.71	32.19	10.62	38.94	-2.01	-30.6	-36.19	-6.69
297		31.1		41.03		-37.2
298			10.66	42.71		-31.66
299	-30.07			40.22	-0.46	-40.42	-35.95
300	-30.16	32.71			-0.97		-36.44	-4.68
301	-29.36	31.53	14.07		-0.05		-38.21	-7.32
302	-30.64	31.12	13.01	37.64	0.18	-39.24	-38.56	-5.4
303	-31.52	32.53	11.69	38.42	-0.23	-40.51	-39.29	-4.96
304		32.02	13.57	37.23		-41.49
305			12.33	39.26		-36.38
306	-31.8			38.25	-0.66	-37.43	-39.42	-2.72	{"person":"dick_costolo", "desc":"Starts Testing E-commerce Buy Button","link":"http://recode.net/2014/09/08/twitter-introduces-buy-buttons-so-you-can-shop-from-tweets/"}
307	-32.36	32.02			-0.75		-39.12	-4.49
308	-32.91	31.48	11.59		-0.01		-41.16	-0.9
309	-32.96	31.07	10.73	38.21		-39.34	-40.86	-1.51	{"person":"marissa_mayer", "desc":"Acquires Tumblr","link":"http://mashable.com/2013/05/20/yahoo-officially-acquires-tumblr-promises-not-to-screw-it-up/#._fJ.74YDSk1"}
310	-32.42	31	11.05	43	-0.51	-39.17	-41.29	-1.99
311		30.53	11.12	44.16		-36.08
312			11.9	43.4		-38.54
313	-33.24			45.46	0.41	-37.41	-42.49	-6.12
314	-33.17	31.71			-0.01		-42.63	-4.09
315	-34.87	32.12	12.4		-1.31		-40.68	-4.53
316	-35.04		10.13	42.98	0.84	-35.41	-42.03	-4.84
317	-33.73	34.43	9.23	43.34	1.89	-31.49		-0.58
318		35.3	10.99	46.73		-34.22
319			10.92	42.91		-34.69
320	-32.67			41.22	1.65	-34.23	-41.64	-1.45
321	-32.29	37.36			1.58		-42.17	-0.59
322	-30.58	37.47	11.29		1.53		-39.61	-0.12	{"person":"meg_whitman", "desc":"$8 Billion Writedown on EDS Deal","link":"http://blogs.wsj.com/deals/2012/08/08/hewlett-packard-to-take-8-billion-writedown-on-eds-deal/"}
323	-30.75	37.3	12.76	41.64	2.37		-37.85	-1.05
324	-29.76	37.08	11.85	43.64	2.27	-32.36	-36.7	-1.2
325		36.44		42.78		-36.71
326			10.47	40.14		-34.71
327	-30.09			41.82	3.3	-36.37	-38.3	-1.35
328	-30.89	37.43			4.66		-39.19	-1.38
329	-31.45	36.82	9.48		5.02		-38.09	-2.75
330	-31.35	35.15	9.16		5.2	-33.81	-37.13	0.55
331	-31.66	35.87	8.78	39.22	5.69	-39.69	-38.43	3.54
332		35.51		38.68		-37.52
333			9.72	40.51		-36.42
334	-29.66			41.79	6.34	-37.33	-38.95	3.15
335	-30.02	37.05			4.46		-38.94	4.87
336	-32.72	37.69	10.42		4.74		-38.49	6.55
337	-37.78	32.15	10.24	41.89	4.52	-38.03	-39.92	8.49
338	-38.32	30.35	10.25	42.01	4.32	-40.06	-40.58	1.25
339		29.76	11.44	41.04		-41.95
340			11.26	42.62		-37.27
341	-39.68			45.22		-39.03	-40.53	-1.14
342	-40.85	32.5			5.23		-41.16	-1.27
343	-40.79	36.3	10.8		6.57		-40.87	1.88
344	-40.72	36.32	10.3	43.42	6.04	-38	-41.17	-1.75
345	-40.72	37.03	9.87	43.11	6.97	-42.98	-39.37	-1.61
346		36.09	10.35	41.86		-38.97
347			10.66	42.6		-38.5
348				43.02		-36.04	-39.59	0.92
349	-40.49	36.59			8.39		-38.23	-1.58
350	-39.4	35.05			8.87		-38.44	-3.8
351	-39.58	35.03	10.53	43.24	6.5	-35.92	-35.79	-4.17
352	-40.18	34.9	9.12	42.65	4.88	-40.37	-37.96	-4.29	{"person":"satya_nadella", "desc":"Announces HoloLens","link":"http://www.theverge.com/2015/1/21/7867593/microsoft-announces-windows-holographic"}
353		35	10.04	41.99		-38.6
354			9.98	40.37		-37.88
355	-39.52			39.8	0.34	-36.66	-39.83	-7
356	-37.73	36.73			-0.51		-41.38	-17.6
357	-37.78	37.35	9.26		-0.37		-41.17	-20.53
358	-37.75	36.53	1.06	34.99	-0.3	-41.39	-41.27	-21.36
359	-38.54	36.32	-1.5	38.91	-0.52	-35.05	-42.52	-23.06
360		38.19	-0.52	39.51		-37.75
361			-3.33	39.5		-39.65
362	-38.3			37.58		-36.06	-42.25	-25.53
363	-38.15	41.84			-0.59		-42.11	-24.01
364	-38.75	40.31	-2.1		-1.41		-43.27	-24.94
365	-39.77	42.75	-2.41	36.92	-1.04	-35.47	-44.17	-24.36
366	-40.42	42.36	-1.62	35.61	-9.27	-38.43	-44.45	-25.25
367		41.73	-1.2	38.45		-38.95			{"person":"marissa_mayer", "desc":"5-Year High After Alibaba Surge","link":"http://www.bloomberg.com/news/articles/2013-07-16/yahoo-misses-analysts-estimates-as-ceo-fails-to-woo-advertisers"}
368			-0.86			-38.21
369	-41.36			37.51	-9.26	-36.76	-45.45	-26.88
370	-42.27	44.23			-10.05		-45.75	-27.02	{"person":"tim_cook", "desc":"Wins $1bn in Samsung Case","link":"http://www.wsj.com/articles/SB10000872396390444358404577609810658082898"}
371	-40.43	43.85	-0.59		-12.82		-46.21	-21.83
372	-40.87	43.38	-1.31	36.44	-12.63	-32.83	-46.36	-26.5
373	-41.04	42.85	-2.1	41.85	-11.15	-32.29	-47.96	-23.32
374		42.28	-1.62	40.55		-35.57
375			-0.58	40.79		-36.34
376	-40.47			40.92	-11.36			-25.57
377	-40.87				-11.05		-48.85	-25.81
378	-48.78	43.98			-12.01		-50.2	-27.04
379	-48.91	43.25	-1.34	41.2	-11.72	-31.49	-47.93	-27.26
380	-49.41	41.47	-1.6	39.17	-11.45	-32.13	-47.83	-27.03
381		42.32	-2.03	53.08		-33.34
382			-1.85	53.02		-35.35
383	-49.96			51.18	-9.44	-35.04	-49.04	-27.39
384	-49.5	40.06			-9.85		-49.45	-28.21
385	-49.96	39.58	-1.3		-9.76		-50.15	-26.19
386	-49.67	41.08	-1.57	44.17	-9.87	-32.52	-50.33
387	-49.02	41.97	-1.78	42.42	-9.97	-35.5	-50.29	-25.16
388		42.42	-2.03	44.9		-34.53
389			-2.02	46.1		-32.54
390	-49.14			44.95	-9.89	-26.02	-48.14	-29.05
391	-49.4	44.42			-10.27		-48.23	-29.71
392	-48.93	44.89	-2.82		-10.39		-48.24	-29.72
393	-48.13	44.71	-3.61	44.58	-11.59	-24.65	-49	-30.13
394	-48.11	44.31	-3.85	44.51	-11.62	-25.79	-48.89	-30.83
395		44.42	-4.04	44.32		-28.63
396			-4.65	41.72		-27.67
397	-47.49			39.63		-27.75	-48.48	-34.24
398	-48.64	43.36			-10.15		-48.52	-33.22
399	-49.28	41.72	-3.84		-10.57		-47.72	-33.33
400	-48.82	41.05	-4.08	39.6	-11.56	-29.4	-47.4	-33.03
401	-49.21	42.49	-4	38.86	-11.21	-28.03	-45.9	-31.51
402		40.43	-7.03	39.66		-26.3
403			-5.8	39.54		-24.64
404				40.9	-11.37	-27.4	-46.62	-31.26
405		38.93			-10.67		-46.37	-33.64
406	-49.9	39.04	-6.49		-10.09		-47.01	-34.2
407	-50.07	40.49	-6.33	43.93	-10.16	-24.29	-46.33	-33.55
408	-50.3	38.89	-5.4	43.31	-9.94	-24.27	-45.87	-33.15
409		36.5	-6.07	42.43		-22.64
410			-5.38	40.22		-27.81
411	-49.7			41.28	-10.18	-24.41	-46.51	-30.95
